post_id,positive,negative
1d37kl5,0,1
1d3dh15,0,2
1d3exn6,0,1
1d41ojb,1,0
1d4gzr1,0,2
1d52dnr,0,1
1d5jhxp,2,0
1d65x6s,0,2
1d7xrvz,4,3
1d8qlwu,5,0
1d8sb0g,0,0
1d9g5zi,0,0
1d9k8nk,0,0
1dbyej6,0,1
1dcm4er,1,0
1dgb4rz,2,1
1dj50ce,1,0
1djyf7z,0,0
1dkfk48,0,0
1dktsxc,0,0
1dmk19r,0,0
1dmkmro,1,0
1dmm5cu,0,2
1dmpmrr,0,0
1dn1cq0,0,0
1dncmvw,2,0
1dnnfe2,0,0
1do147u,1,0
1dp1ti7,0,3
1dq8ym9,0,3
1dqbzl4,1,0
1dqe79b,0,4
1ds8zxv,2,2
1dssl54,0,1
1dt9ld9,0,3
1dtdgn0,0,1
1dthh0c,0,0
1dtj76i,3,1
1dtjzd1,3,0
1dv45gc,1,1
1dvpps3,0,1
1dvu8xr,3,2
1dw3xfg,0,0
1dwemnr,2,5
1dwoejo,0,0
1dwt6ny,2,0
1dwude9,0,0
1dy0zu5,0,0
1dy4ycu,1,0
1dy5a4s,0,0
1dy6mu9,1,0
1dyacf2,0,0
1dyb50e,0,0
1dyc6pp,2,4
1dz316q,1,4
1dzlrqr,1,5
1dzoehn,0,2
1e0n55i,1,0
1e19spc,0,0
1e1a9gs,2,0
1e1dc98,1,0
1e1dkwn,0,0
1e292xd,2,3
1e2a0rp,1,0
1e2clwz,5,1
1e3iiif,0,2
1e3qkqa,0,0
1e4kvq2,1,1
1e4lle7,4,2
1e57xr3,1,2
1e5ymbg,6,6
1e70xda,0,0
1e88roc,0,1
1e8bfl3,1,2
1e8duce,0,0
1e8q25b,1,0
1e9ap11,4,1
1e9fzno,5,0
1e9we7t,2,0
1e9wouw,0,0
1eacbiw,1,2
1eavusa,1,1
1ecafyh,3,3
1ecteb6,2,0
1ed876i,0,0
1eddsn5,7,11
1edjype,2,6
1ee12v9,9,2
1ee71g6,0,0
1eeuk94,0,0
1efgujf,1,0
1eghhlh,0,2
1egs54j,0,0
1ehelhk,0,0
1ehmviv,0,3
1ehyqib,3,0
1ei8f84,6,0
1ei9hqv,0,0
1ek9t1r,2,0
1ekj70j,2,0
1ektp0g,0,0
1elc7bs,0,0
1emd5yj,1,5
1emydfz,8,2
1en1frj,1,0
1en658y,1,1
1eo3a4s,2,3
1eq4fy8,3,26
1eq69eu,4,2
1ercq1a,0,3
1erumae,0,0
1es91r0,5,3
1etf5wy,2,0
1ethe3j,3,1
1ev9i53,3,0
1evvqhy,1,1
1evxtiq,0,0
1ewva8j,0,2
1ewvlty,1,2
1exhh46,0,0
1eydqca,21,23
1eye8qc,0,0
1f0oult,0,1
1f0vflm,0,1
1f0xu7v,3,1
1f29wfy,6,5
1f3z75w,0,0
1f4qzwd,1,0
1f69hv1,0,0
1f709xl,0,0
1f7awyc,0,0
1f7usy6,2,3
1f9ao81,6,11
1f9bncs,0,0
1f9kcqi,0,0
1fb3q2z,0,0
1fbxiqo,1,9
1fcnyun,1,0
1fdebwt,1,0
1fftdj6,0,0
1fhcdp9,3,5
1fjkjlz,0,0
1fjl9pm,1,5
1fjnuzt,12,4
1fjw2rj,0,1
1fjxpst,3,0
1fkdzut,2,0
1fkfg92,4,0
1fm4hox,18,34
1fmj7k4,2,2
1fmk9xv,2,1
1fnatq2,4,4
1fnaxem,2,3
1fncnfd,0,0
1fnkvuy,0,2
1fodw08,1,3
1frbk9s,1,1
1frdf0p,0,2
1fu9js4,1,0
1fv0ehb,0,0
1fv32f5,3,1
1g0bsjt,2,6
1g2h94h,0,0
1g3cy69,0,0
1g3hp2y,0,1
1g41sv1,0,0
1g4z15m,0,0
1g5r34d,1,0
1g66ffp,0,1
1g8vwpy,0,2
1g9hzd2,2,5
1gayfpv,0,0
1gazv0t,0,0
1gb4wfa,2,0
1gbmuyb,0,1
1gbooay,0,0
1gbrj3d,3,3
1gcd1t4,0,0
1gcm2y4,0,0
1gddgy2,0,1
1gemaug,1,3
1gffjl9,0,0
1gfhwgq,4,5
1gfkwm1,0,1
1ggatka,0,6
1ggezmr,2,0
1ggioz6,1,0
1ggmvj5,3,1
1gh26b8,0,0
1ghqshd,3,0
1ghv7px,1,0
1gj8zrm,0,0
1gjvsq1,0,4
1gk6xyd,2,0
1gkcwau,1,0
1gkspfq,0,0
1gl0e86,2,0
1gl0fj0,0,0
1gl4k8m,0,0
1gli8sk,0,1
1glvt61,0,0
1gmbdc8,2,0
1gmcjzx,0,0
1gmp9yb,0,1
1gmpweo,0,0
1go83o9,0,1
1gohb2l,0,0
1gohlxd,0,0
1gojf6c,0,0
1gomg1s,0,0
1gos6u5,0,2
1gosu2o,1,1
1gpi88h,1,1
1gpovtp,2,0
1gppncb,0,0
1gq1pbr,0,0
1gqasjg,1,1
1grkr0u,0,0
1grvvai,1,0
1gsgqtt,0,0
1gsiofm,1,0
1gtta8s,0,0
1gtyifv,1,0
1gu1zg1,1,2
1gu6onm,4,2
1gur4p8,0,0
1guy9k0,1,1
1gv1zk4,0,0
1gw9ln9,0,0
1gwar80,0,2
1gx29c9,0,0
1gxte37,0,7
1gzcg7i,1,2
1gzd8ur,0,0
1h07w2s,3,3
1h1qkl5,0,0
1h1qzpz,0,0
1h1rusx,0,0
1h1urh8,0,0
1h1wnad,0,0
1h31327,2,2
1h403it,0,0
1h4pi4x,1,0
1h4xopp,0,0
1h5bitq,0,0
1h5ddem,0,2
1h5mjp3,0,1
1h5vt12,0,2
1h6bvo6,2,10
1h6bzoe,0,7
1h6cs0m,2,0
1h6i4tn,0,1
1h7qv5v,0,0
1h7t6xw,0,0
1h7xwbt,1,0
1h8o3jm,0,0
1h9dn0d,6,8
1h9e7yv,0,0
1ha6jin,0,0
1hb5vl3,0,1
1hce6kk,0,0
1hcf0l1,3,1
1hd7pa5,3,5
1hdaqj0,0,0
1he983v,0,5
1hgk1bn,2,2
1hh0fzy,2,3
1hj7820,6,12
1hj7op0,0,1
1hlzh83,0,0
1hskll9,1,0
1ht9z8h,0,2
1htgk1g,0,1
1htzy6z,0,0
1hu6w8e,2,1
1husbbr,0,0
1hvryad,1,0
1hwll81,1,1
1hx3xs6,1,8
1hxifs2,4,4
1hxzo8w,1,0
1hyoudt,0,0
1hyzdt4,2,0
1hzhts0,4,0
1hzl0lm,1,0
1i01x89,0,0
1i06hi1,0,0
1i0wy7o,1,0
1i0zv5n,2,0
1i100t6,0,3
1i111oa,3,1
1i115u2,0,0
1i15fve,2,0
1i15quf,0,0
1i1s9dt,2,10
1i1t96n,1,0
1i1v7f1,1,0
1i1wifh,2,40
1i1xfhp,1,5
1i1xib1,3,0
1i1y2eb,0,2
1i1z5on,2,1
1i20ej6,0,0
1i2ppmp,1,1
1i2r83d,0,0
1i2ttfo,2,0
1i31crk,0,0
1i38aug,3,1
1i3p7ad,4,6
1i3ysxv,6,4
1i4eopt,0,0
1i4sktk,1,0
1i4tsm1,6,2
1i5475v,0,0
1i5mt8i,1,1
1i5nwah,0,0
1i5nxhq,0,0
1i5w8vy,1,4
1i62b5o,0,0
1i62cv3,0,0
1i63tty,0,0
1i699z9,2,3
1i6d5vl,0,0
1i6fzjd,5,3
1i6lwpp,0,0
1i6ycy8,1,1
1i77l87,0,0
1i78c28,2,4
1i78nse,1,0
1i7ctxz,1,2
1i7d73x,1,1
1i7euuc,1,0
1i7zydq,2,2
1i80289,0,0
1i83kwx,5,0
1i83qin,3,1
1i88bn9,0,0
1i88h3u,0,0
1i8riku,0,1
1i8vk9o,1,2
1i8yyiv,0,2
1i9idix,0,1
1i9ig74,0,1
1ib7xu0,1,0
1ib91e3,0,1
1ibxjzv,1,0
1ic0ju3,0,2
1idgn3m,2,0
1ie6nh5,0,0
1ieakd9,1,1
1iemh8b,1,11
1iftu1k,7,1
1ig1qrx,1,2
1ig4cfs,0,0
1ig4xb9,1,1
1igh8pk,0,0
1igo4g3,3,13
1igpkgm,0,0
1ih3ddc,1,2
1ih7v64,15,1
1ih9igy,1,0
1iha0hv,3,2
1ihcji0,0,0
1ihctu0,0,2
1ihecfl,3,0
1ihhwtu,0,0
1ihiptq,9,3
1ii1e7v,4,2
1ii2z6u,5,0
